"","batter_id","batter_name","bat_hand","avg_runs_per_dismissal_vs_pitch_length_full","avg_runs_per_dismissal_vs_pitch_length_good_length","avg_runs_per_dismissal_vs_pitch_length_short","avg_runs_per_dismissal_vs_pitch_length_short_of_a_good_length","avg_runs_per_dismissal_vs_pitch_length_yorker","avg_runs_per_dismissal_vs_pitch_length_full_toss","strike_rate_vs_pitch_length_full","strike_rate_vs_pitch_length_good_length","strike_rate_vs_pitch_length_short","strike_rate_vs_pitch_length_short_of_a_good_length","strike_rate_vs_pitch_length_yorker","strike_rate_vs_pitch_length_full_toss","avg_runs_per_dismissal_vs_pitch_line_down_leg","avg_runs_per_dismissal_vs_pitch_line_on_the_stumps","avg_runs_per_dismissal_vs_pitch_line_outside_offstump","avg_runs_per_dismissal_vs_pitch_line_wide_outside_offstump","avg_runs_per_dismissal_vs_pitch_line_wide_down_leg","strike_rate_vs_pitch_line_down_leg","strike_rate_vs_pitch_line_on_the_stumps","strike_rate_vs_pitch_line_outside_offstump","strike_rate_vs_pitch_line_wide_outside_offstump","strike_rate_vs_pitch_line_wide_down_leg","pct_shots_by_shot_type_vs_pace_cover_drive","pct_shots_by_shot_type_vs_pace_cut_shot","pct_shots_by_shot_type_vs_pace_on_drive","pct_shots_by_shot_type_vs_pace_pull","pct_shots_by_shot_type_vs_pace_push","pct_shots_by_shot_type_vs_pace_square_drive","pct_shots_by_shot_type_vs_spin_defended","pct_shots_by_shot_type_vs_spin_on_drive","pct_shots_by_shot_type_vs_spin_push","pct_shots_by_shot_type_vs_spin_sweep_shot","pct_shots_by_shot_type_vs_pace_defended","pct_shots_by_shot_type_vs_pace_flick","pct_shots_by_shot_type_vs_pace_left_alone","pct_shots_by_shot_type_vs_pace_slog_shot","pct_shots_by_shot_type_vs_pace_straight_drive","pct_shots_by_shot_type_vs_pace_upper_cut","pct_shots_by_shot_type_vs_spin_cover_drive","pct_shots_by_shot_type_vs_spin_cut_shot","pct_shots_by_shot_type_vs_spin_left_alone","pct_shots_by_shot_type_vs_spin_slog_shot","pct_shots_by_shot_type_vs_spin_straight_drive","pct_shots_by_shot_type_vs_pace_ramp","pct_shots_by_shot_type_vs_pace_steered","pct_shots_by_shot_type_vs_spin_flick","pct_shots_by_shot_type_vs_spin_pull","pct_shots_by_shot_type_vs_pace_dab","pct_shots_by_shot_type_vs_pace_hook","pct_shots_by_shot_type_vs_pace_leg_glance","pct_shots_by_shot_type_vs_pace_slog_sweep","pct_shots_by_shot_type_vs_pace_sweep_shot","pct_shots_by_shot_type_vs_spin_dab","pct_shots_by_shot_type_vs_spin_leg_glance","pct_shots_by_shot_type_vs_spin_paddle_sweep","pct_shots_by_shot_type_vs_spin_reverse_sweep","pct_shots_by_shot_type_vs_spin_slog_sweep","pct_shots_by_shot_type_vs_spin_square_drive","pct_shots_by_shot_type_vs_spin_steered","pct_shots_by_shot_type_vs_pace_reverse_sweep","pct_shots_by_shot_type_vs_pace_reverse_scoop","pct_shots_by_shot_type_vs_spin_late_cut","pct_shots_by_shot_type_vs_pace_reverse_pull","pct_shots_by_shot_type_vs_spin_reverse_pull","pct_shots_by_shot_type_vs_pace_paddle_sweep","pct_shots_by_shot_type_vs_spin_paddle_away","pct_shots_by_shot_type_vs_spin_ramp","pct_shots_by_shot_type_vs_pace_late_cut","pct_shots_by_shot_type_vs_spin_reverse_scoop","pct_shots_by_shot_type_vs_spin_upper_cut","pct_boundaries_in_wagon_zone_1","pct_boundaries_in_wagon_zone_2","pct_boundaries_in_wagon_zone_3","pct_boundaries_in_wagon_zone_4","pct_boundaries_in_wagon_zone_5","pct_boundaries_in_wagon_zone_6","pct_boundaries_in_wagon_zone_7","pct_boundaries_in_wagon_zone_8","pct_caught_dismissals_in_wagon_zone_1","pct_caught_dismissals_in_wagon_zone_2","pct_caught_dismissals_in_wagon_zone_3","pct_caught_dismissals_in_wagon_zone_4","pct_caught_dismissals_in_wagon_zone_5","pct_caught_dismissals_in_wagon_zone_6","pct_caught_dismissals_in_wagon_zone_7","pct_caught_dismissals_in_wagon_zone_8"
"1",321777,"David Miller","LHB",84.5,29.5,NA,28,10,38,236.36,92.55,144.83,114.29,76.92,165.22,44,47.5,37.89,33.5,NA,137.5,142.32,120.07,248.15,NA,15.58,11.95,10.13,13.51,4.68,1.56,7.85,16.53,9.5,2.07,7.01,15.84,4.16,6.49,0.78,0.26,9.5,11.57,1.24,3.31,3.72,0,4.68,23.14,6.61,1.3,0.52,1.3,0,0.26,0.41,0.41,0,0,1.24,2.07,0.83,0,0,0,0,0,0,0,0,0,0,0,13.54,2.08,16.67,11.46,25,17.71,8.33,5.21,0,16.67,25,8.33,33.33,16.67,0,0
"2",230559,"Kieron Pollard","RHB",15.88,19.8,45,35.5,20,27,164.94,104.21,155.17,110.94,117.65,158.82,NA,12.3,36.83,12.5,NA,125,114.95,140.76,131.58,NA,9.58,3.33,12.92,12.5,5.83,0,12.79,17.44,9.3,0,10.42,19.17,10.83,9.58,2.5,0,1.16,0,5.81,10.47,3.49,0,2.5,30.23,4.65,0.42,0,0,0.42,0,0,1.16,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,10.64,17.02,25.53,10.64,10.64,0,12.77,0,22.22,22.22,33.33,0,11.11,0,11.11
"3",600498,"Aiden Markram","RHB",61.75,21.75,22.5,66,5,18,169.18,111.54,225,122.22,62.5,105.88,NA,47.33,26.81,33,NA,104,133.33,130.79,165,200,18.81,9.24,26.4,9.9,6.6,3.63,3.38,22.3,5.41,1.01,5.28,10.56,1.98,3.63,1.98,0,16.55,15.88,1.35,4.39,2.36,0,0.33,15.54,4.73,0.33,0.66,0.33,0,0,0.34,0.34,0.34,1.69,1.69,1.69,1.01,0,0.33,0,0,0,0,0,0,0,0,0,7.06,3.53,24.71,11.76,14.12,23.53,11.76,3.53,0,0,33.33,6.67,26.67,26.67,0,6.67
"4",422108,"KL Rahul","RHB",44.25,53.62,143,58,NA,99,160.91,103.37,275,125.7,95.24,186.79,NA,78.71,45.59,46,NA,188.1,134.72,129.17,143.75,NA,11.99,10.63,9.95,10.22,9.81,5.59,4.22,21.64,7.65,2.9,7.63,14.44,5.59,5.31,1.77,0.54,13.46,10.29,1.06,3.43,3.43,0.14,3.95,18.73,6.33,0.82,0.27,0.68,0.27,0.14,0.79,0.79,0.26,0.26,0.79,2.37,1.32,0.27,0,0.26,0,0,0,0,0,0,0,0,11.8,10.11,19.1,7.87,10.11,16.29,11.24,13.48,22.73,4.55,18.18,9.09,13.64,9.09,4.55,18.18
"5",290630,"Manish Pandey","RHB",20.33,31.43,15,32.4,3,NA,138.64,105.26,88.24,124.62,37.5,175,25,21.27,36.71,20,NA,156.25,130.73,103.63,117.65,NA,6.61,8.17,14.4,13.62,11.28,1.17,5.48,21,7.76,0,7.78,13.23,6.23,6.61,3.11,0,11.42,6.85,2.74,8.22,2.74,0,5.84,17.81,8.68,1.17,0,0.78,0,0,2.28,0.91,0.46,0,0.46,0.46,2.74,0,0,0,0,0,0,0,0,0,0,0,10,6.67,26.67,28.33,11.67,6.67,3.33,6.67,9.09,0,9.09,36.36,27.27,0,0,18.18
"6",554691,"Axar Patel","LHB",32.2,28.25,51,16.5,22,NA,191.67,95.76,242.86,106.45,91.67,190,NA,14.6,45,NA,NA,192.31,107.35,146.1,230.77,NA,9.86,4.23,17.37,15.02,6.1,1.41,9.92,24.43,6.87,1.53,5.16,18.31,5.63,8.45,3.76,0.94,9.92,8.4,3.82,0.76,2.29,0,1.88,16.79,10.69,0.47,0,0.47,0.94,0,0.76,0.76,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,5.56,24.07,18.52,24.07,11.11,9.26,5.56,0,0,10,20,40,10,10,10
"7",44828,"Faf du Plessis","RHB",37.83,44,24.2,53.62,NA,69,174.62,112.2,212.28,143.48,107.89,172.5,43.5,49.38,35.28,NA,NA,131.82,128.92,141.35,216.67,200,14.27,7.84,13.24,11.31,7.71,2.31,5.76,19.75,7.41,0.21,6.43,17.61,4.5,6.04,2.44,0.26,14.4,9.67,1.23,2.26,3.09,0.51,3.21,27.16,4.73,0.9,0.26,1.16,0,0,0,1.03,0,0.21,1.03,1.23,0.82,0,0,0,0,0,0,0,0,0,0,0,8,2.22,17.78,19.56,17.33,20.89,6.67,7.56,14.71,0,14.71,17.65,11.76,14.71,11.76,14.71
"8",604302,"Nicholas Pooran","LHB",21.36,23.14,49,39,29,19,188,98.18,204.17,174.63,111.54,190,41.5,25.33,21.29,29,NA,197.62,132.56,148.26,187.1,NA,10.45,7.67,11.5,13.24,8.01,4.88,6.99,13.44,10.75,5.38,3.14,12.54,9.41,8.36,1.05,0,8.06,11.29,1.61,4.84,1.61,0.35,2.79,13.44,7.53,1.39,0.35,2.79,1.05,0.35,1.61,0,1.08,1.61,7.53,0.54,2.69,0.35,0,0,0,0,0,0,0,0.35,0,0,10.59,12.94,8.24,10.59,14.12,20,16.47,7.06,21.74,13.04,8.7,13.04,13.04,8.7,21.74,0
"9",670025,"Shimron Hetmyer","LHB",58.5,24.89,54,58.5,13,51.5,205.26,124.44,154.29,127.17,92.86,251.22,33,27.44,42.25,107,NA,143.48,146.15,151.57,205.77,NA,11.62,3.51,10,13.24,6.49,2.43,16.99,11.11,7.19,1.31,3.78,11.89,7.57,21.35,2.16,0.27,13.07,12.42,2.61,2.61,1.31,0.54,2.43,20.26,3.92,1.62,0.27,0.54,0.27,0,0,0,0,0,5.88,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,7.22,5.15,12.37,13.4,29.9,18.56,7.22,6.19,6.25,0,12.5,12.5,31.25,37.5,0,0
"10",44936,"AB de Villiers","RHB",61,20.25,10,31,12,NA,244,102.53,125,140.91,70.59,208.33,NA,17.83,65,9,NA,33.33,146.58,158.54,81.82,NA,20.45,9.85,14.39,6.06,3.79,2.27,4.94,25.93,8.64,3.7,1.52,9.09,3.03,9.09,9.09,1.52,14.81,14.81,1.23,2.47,3.7,0.76,7.58,9.88,2.47,1.52,0,0,0,0,0,0,0,1.23,2.47,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,12.82,25.64,15.38,17.95,5.13,15.38,0,0,20,0,0,60,0,20
