"team_bat","p_bat","bat","total_runs","balls_faced","outs","matches_played","innings_played","strike_rate","batting_average","team_runs_rank"
"Chennai Super Kings",1060380,"Ruturaj Gaikwad",1444,1076,39,43,43,134.200743494424,37.025641025641,1
"Chennai Super Kings",379140,"Devon Conway",876,619,17,20,20,141.518578352181,51.5294117647059,2
"Chennai Super Kings",8917,"Moeen Ali",683,498,29,33,33,137.14859437751,23.551724137931,3
"Chennai Super Kings",714451,"Shivam Dube",661,415,18,23,23,159.277108433735,36.7222222222222,4
"Chennai Super Kings",33141,"Ambati Rayudu",650,481,28,34,34,135.135135135135,23.2142857142857,5
"Chennai Super Kings",44828,"Faf du Plessis",633,458,14,16,16,138.2096069869,45.2142857142857,6
"Chennai Super Kings",234675,"Ravindra Jadeja",529,379,15,31,31,139.57783641161,35.2666666666667,7
"Delhi Capitals",1070168,"Prithvi Shaw",849,554,29,30,30,153.249097472924,29.2758620689655,1
"Delhi Capitals",219889,"David Warner",790,544,19,23,23,145.220588235294,41.5789473684211,2
"Delhi Capitals",931581,"Rishabh Pant",759,550,23,29,29,138,33,3
"Delhi Capitals",28235,"Shikhar Dhawan",587,471,15,16,16,124.628450106157,39.1333333333333,4
"Delhi Capitals",554691,"Axar Patel",451,330,15,26,26,136.666666666667,30.0666666666667,5
"Delhi Capitals",272450,"Mitchell Marsh",375,281,13,15,15,133.451957295374,28.8461538461538,6
"Delhi Capitals",930189,"Lalit Yadav",257,254,12,18,18,101.181102362205,21.4166666666667,7
"Gujarat Titans",1070173,"Shubman Gill",1296,880,27,31,31,147.272727272727,48,1
"Gujarat Titans",625371,"Hardik Pandya",820,609,18,28,28,134.646962233169,45.5555555555556,2
"Gujarat Titans",321777,"David Miller",709,499,15,28,28,142.084168336673,47.2666666666667,3
"Gujarat Titans",279810,"Wriddhiman Saha",649,523,23,26,26,124.091778202677,28.2173913043478,4
"Gujarat Titans",1151288,"Sai Sudharsan",423,305,9,11,11,138.688524590164,47,5
"Gujarat Titans",423838,"Rahul Tewatia",289,190,11,21,21,152.105263157895,26.2727272727273,6
"Gujarat Titans",477021,"Vijay Shankar",264,179,10,12,12,147.486033519553,26.4,7
"Kolkata Knight Riders",604527,"Nitish Rana",1132,836,37,42,42,135.406698564593,30.5945945945946,1
"Kolkata Knight Riders",851403,"Venkatesh Iyer",919,699,32,34,34,131.473533619456,28.71875,2
"Kolkata Knight Riders",276298,"Andre Russell",710,448,24,32,32,158.482142857143,29.5833333333333,3
"Kolkata Knight Riders",723105,"Rinku Singh",598,397,11,19,19,150.629722921914,54.3636363636364,4
"Kolkata Knight Riders",1070173,"Shubman Gill",478,402,17,17,17,118.905472636816,28.1176470588235,5
"Kolkata Knight Riders",642519,"Shreyas Iyer",401,298,13,14,14,134.563758389262,30.8461538461538,6
"Kolkata Knight Riders",446763,"Rahul Tripathi",397,283,14,16,16,140.282685512367,28.3571428571429,7
"Lucknow Super Giants",422108,"KL Rahul",827,636,16,20,20,130.03144654088,51.6875,1
"Lucknow Super Giants",379143,"Quinton de Kock",651,443,18,19,19,146.952595936795,36.1666666666667,2
"Lucknow Super Giants",325012,"Marcus Stoinis",521,337,18,22,22,154.59940652819,28.9444444444444,3
"Lucknow Super Giants",497121,"Deepak Hooda",509,388,20,23,23,131.185567010309,25.45,4
"Lucknow Super Giants",1151270,"Ayush Badoni",358,277,15,21,21,129.241877256318,23.8666666666667,5
"Lucknow Super Giants",471342,"Krunal Pandya",313,265,17,24,24,118.11320754717,18.4117647058824,6
"Lucknow Super Giants",604302,"Nicholas Pooran",279,162,9,12,12,172.222222222222,31,7
"Mumbai Indians",446507,"Suryakumar Yadav",1210,747,34,37,37,161.981258366801,35.5882352941176,1
"Mumbai Indians",720471,"Ishan Kishan",1103,833,36,38,38,132.412965186074,30.6388888888889,2
"Mumbai Indians",34102,"Rohit Sharma",980,762,41,42,42,128.608923884514,23.9024390243902,3
"Mumbai Indians",1170265,"Tilak Varma",656,466,18,24,24,140.772532188841,36.4444444444444,4
"Mumbai Indians",1076713,"Cameron Green",447,278,8,15,15,160.791366906475,55.875,5
"Mumbai Indians",892749,"Tim David",413,225,12,22,22,183.555555555556,34.4166666666667,6
