"p_bat","bat","fours_wagonZone1","fours_wagonZone2","fours_wagonZone3","fours_wagonZone4","fours_wagonZone5","fours_wagonZone6","fours_wagonZone7","fours_wagonZone8","sixes_wagonZone1","sixes_wagonZone2","sixes_wagonZone3","sixes_wagonZone4","sixes_wagonZone5","sixes_wagonZone6","sixes_wagonZone7","sixes_wagonZone8","boundaries_wagonZone1","boundaries_wagonZone2","boundaries_wagonZone3","boundaries_wagonZone4","boundaries_wagonZone5","boundaries_wagonZone6","boundaries_wagonZone7","boundaries_wagonZone8"
4864,"Dan Christian",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5334,"Aaron Finch",2,0,2,2,1,1,2,0,0,0,0,1,1,1,0,0,2,0,2,3,2,2,2,0
5961,"Moises Henriques",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8917,"Moeen Ali",9,4,16,4,7,12,5,3,0,0,1,5,7,11,9,1,9,4,17,9,14,23,14,4
24598,"Eoin Morgan",2,1,2,1,1,0,0,1,0,0,0,1,1,3,1,0,2,1,2,2,2,3,1,1
25913,"Mohammad Nabi",0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,0,0
26421,"Ravichandran Ashwin",0,1,5,0,1,2,6,6,0,0,8,4,1,0,0,0,0,1,13,4,2,2,6,6
28081,"MS Dhoni",5,5,5,1,2,6,6,5,2,3,7,3,2,1,1,0,7,8,12,4,4,7,7,5
28235,"Shikhar Dhawan",18,23,27,13,9,16,17,21,1,0,1,4,7,15,4,5,19,23,28,17,16,31,21,26
29264,"Harbhajan Singh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30045,"Dinesh Karthik",8,4,16,5,10,5,1,12,1,11,13,6,2,1,0,0,9,15,29,11,12,6,1,12
30288,"Karn Sharma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31107,"Amit Mishra",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31872,"Shahbaz Nadeem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32966,"Piyush Chawla",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33141,"Ambati Rayudu",6,1,5,5,1,12,9,10,5,4,10,10,5,3,1,0,11,5,15,15,6,15,10,10
33335,"Suresh Raina",2,0,4,2,1,3,1,0,0,0,0,1,3,4,0,1,2,0,4,3,4,7,1,1
34102,"Rohit Sharma",13,9,13,8,12,13,12,15,6,9,12,8,5,2,1,0,19,18,25,16,17,15,13,15
35390,"Saurabh Tiwary",0,1,3,3,2,0,0,1,0,0,0,0,1,1,0,0,0,1,3,3,3,1,0,1
35582,"Robin Uthappa",7,1,6,1,1,4,2,5,2,1,8,5,2,0,0,1,9,2,14,6,3,4,2,6
44828,"Faf du Plessis",12,3,26,21,23,44,15,17,6,2,14,23,16,3,0,0,18,5,40,44,39,47,15,17
44936,"AB de Villiers",0,1,3,4,2,5,2,6,0,2,2,6,4,2,0,0,0,3,5,10,6,7,2,6
51439,"Dwayne Bravo",0,0,0,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,2,2,2,2,1,0
51880,"Chris Gayle",1,0,3,2,7,3,0,5,0,1,0,2,2,1,2,0,1,1,3,4,9,4,2,5
56143,"Shakib Al Hasan",1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2
219889,"David Warner",7,11,25,9,9,30,13,11,2,1,1,1,4,16,4,2,9,12,26,10,13,46,17,13
221140,"David Wiese",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
230193,"Matthew Wade",3,4,6,1,3,2,3,1,0,0,0,0,0,1,1,0,3,4,6,1,3,3,4,1
230558,"Sunil Narine",1,2,3,2,1,1,0,1,1,0,0,2,2,3,2,1,2,2,3,4,3,4,2,2
230559,"Kieron Pollard",6,3,3,1,1,4,0,4,0,2,5,11,4,1,0,2,6,5,8,12,5,5,0,6
232292,"Swapnil Singh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232364,"Tim Southee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234675,"Ravindra Jadeja",6,5,1,3,5,9,4,3,0,0,1,2,9,7,3,0,6,5,2,5,14,16,7,3
236489,"Dawid Malan",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
236779,"Ishant Sharma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237696,"Sheldon Jackson",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247235,"Chris Woakes",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
253802,"Virat Kohli",18,15,21,7,17,33,10,10,2,2,12,8,3,1,0,0,20,17,33,15,20,34,10,10
261354,"Nathan Coulter-Nile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265564,"Wayne Parnell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267192,"Steven Smith",4,0,3,0,0,1,2,3,0,2,0,0,0,0,0,0,4,2,3,0,0,1,2,3
272450,"Mitchell Marsh",3,4,5,2,1,9,4,1,1,5,5,4,5,0,0,1,4,9,10,6,6,9,4,2
272477,"Jason Behrendorff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276298,"Andre Russell",9,2,9,2,3,5,3,9,0,4,21,18,8,5,1,1,9,6,30,20,11,10,4,10
277906,"Kane Williamson",4,8,7,2,2,10,6,6,3,3,1,1,0,2,0,0,7,11,8,3,2,12,6,6
277912,"Trent Boult",0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
277916,"Ajinkya Rahane",6,2,8,1,3,11,2,6,1,7,4,6,1,1,0,0,7,9,12,7,4,12,2,6
279545,"Pradeep Sangwan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279810,"Wriddhiman Saha",12,5,16,11,7,17,16,6,2,3,6,3,2,1,0,0,14,8,22,14,9,18,16,6
288284,"Josh Hazlewood",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
